1629.3123,144.54898294
1618.11,278.522909
1617.86106,4000
1615.37166,5000
1614.2514299999998,142.8197873
1604.66724,4312
1603.1735999999999,835.56872701
1599.93738,159.84
1594.95858,4.799
1593.216,75.37547949
1579.39983,4.799
1572.5539800000001,21.60580177
1567.3262399999999,1310.586953
1561.8495599999999,594
1556.62182,76.0020496
1555.62606,4.39e-05
1540.31625,9.696
1537.2044999999998,969.23682696
1537.08003,1959.77416084
1533.22146,999.64543344
1533.09699,999.99997401
1517.2893,31.88818135
1511.68815,22.73840056
1505.83806,150.78018295
1505.5891199999999,143.53155816
1505.46465,983.65215378
1505.3401800000001,141
1502.3529,50.3658124
1497.00069,616.70134331
